Date,Price,Open,High,Low,Vol.,Change %
4/10/2023,15435.5,15518.5,15767.5,15435.5,15.07M,0.00%
4/11/2023,15560,15435.5,15601.5,15311.1,7.63M,0.81%
4/12/2023,15518.5,15601.5,15601.5,15394,9.16M,-0.27%
4/13/2023,15394,15518.5,15560,15352.5,6.85M,-0.80%
4/14/2023,15186.6,15435.5,15518.5,15186.6,9.03M,-1.35%
4/17/2023,15145.1,15103.6,15228.1,15062.1,6.37M,-0.27%
4/18/2023,15062.1,15228.1,15269.6,14979.1,6.86M,-0.55%
4/19/2023,15020.6,15145.1,15186.6,15020.6,4.78M,-0.28%
4/20/2023,15062.1,15020.6,15103.6,14979.1,3.59M,0.28%
4/21/2023,14979.1,15062.1,15145.1,14979.1,4.44M,-0.55%
4/24/2023,15145.1,14979.1,15186.6,14937.6,6.10M,1.11%
4/25/2023,15145.1,15269.6,15269.6,15062.1,5.25M,0.00%
4/26/2023,15228.1,15145.1,15228.1,15020.6,5.75M,0.55%
4/27/2023,15269.6,15269.6,15311.1,15186.6,4.17M,0.27%
4/28/2023,15311.1,15352.5,15394,15228.1,5.06M,0.27%
5/4/2023,15103.6,15228.1,15311.1,15062.1,6.71M,-1.36%
5/5/2023,15020.6,15103.6,15145.1,15020.6,4.61M,-0.55%
5/8/2023,15145.1,15103.6,15186.6,15062.1,4.85M,0.83%
5/9/2023,15186.6,15186.6,15228.1,15103.6,5.20M,0.27%
5/10/2023,15352.5,15186.6,15352.5,15145.1,7.88M,1.09%
5/11/2023,15352.5,15435.5,15477,15311.1,8.51M,0.00%
5/12/2023,15477,15394,15477,15269.6,8.37M,0.81%
5/15/2023,15643,15560,15850.5,15518.5,20.44M,1.07%
5/16/2023,15601.5,15643,15726,15518.5,7.76M,-0.27%
5/17/2023,15311.1,15560,15601.5,15311.1,10.45M,-1.86%
5/18/2023,15435.5,15394,15477,15311.1,7.66M,0.81%
5/19/2023,15477,15435.5,15518.5,15394,4.36M,0.27%
5/22/2023,15643,15518.5,15684.5,15477,9.50M,1.07%
5/23/2023,15560,15684.5,15767.5,15518.5,8.55M,-0.53%
5/24/2023,15435.5,15601.5,15643,15394,6.38M,-0.80%
5/25/2023,15311.1,15435.5,15435.5,15311.1,5.44M,-0.81%
5/26/2023,15311.1,15352.5,15352.5,15269.6,4.49M,0.00%
5/29/2023,15560,15435.5,15560,15352.5,6.86M,1.63%
5/30/2023,15560,15601.5,15643,15477,7.57M,0.00%
5/31/2023,15435.5,15601.5,15643,15435.5,7.92M,-0.80%
6/1/2023,15601.5,15435.5,15601.5,15394,9.70M,1.08%
6/2/2023,16348.4,15850.5,16472.9,15809,37.94M,4.79%
6/5/2023,16431.4,16514.4,16680.3,16389.9,22.38M,0.51%
6/6/2023,16970.8,16514.4,16970.8,16431.4,26.21M,3.28%
6/7/2023,16887.8,16970.8,17053.8,16804.8,15.45M,-0.49%
6/8/2023,16597.3,16887.8,16970.8,16597.3,15.74M,-1.72%
6/9/2023,16804.8,16680.3,16804.8,16597.3,11.91M,1.25%
6/12/2023,16887.8,16846.3,16929.3,16597.3,10.35M,0.49%
6/13/2023,16846.3,16929.3,16929.3,16721.8,12.19M,-0.25%
6/14/2023,16803.8,17101.6,17186.6,16803.8,12.58M,-0.25%
6/15/2023,16761.2,16803.8,16888.9,16718.7,10.92M,-0.25%
