Date,Price,Open,High,Low,Vol.,Change %
4/5/2021,78967,77419,79587,76335,4.58M,4.29%
4/6/2021,78890,78967,79355,77806,2.86M,-0.10%
4/7/2021,78890,78193,78967,77729,1.51M,0.00%
4/8/2021,77419,78890,78890,77032,2.01M,-1.86%
4/9/2021,75484,77032,77032,75484,2.68M,-2.50%
4/12/2021,76567,76258,76800,75406,3.41M,1.43%
4/13/2021,75484,77419,77419,75484,2.13M,-1.41%
4/14/2021,76413,75329,76413,75019,1.71M,1.23%
4/15/2021,75484,77264,77264,74942,2.75M,-1.22%
4/16/2021,74555,75329,76258,74322,1.93M,-1.23%
4/19/2021,76258,75096,76258,74167,1.77M,2.28%
4/20/2021,79742,76722,81290,76258,8.01M,4.57%
4/22/2021,79742,79742,81755,79122,3.80M,0.00%
4/23/2021,80516,79742,80516,77806,2.92M,0.97%
4/26/2021,76335,80516,80516,75793,4.59M,-5.19%
4/27/2021,76645,76335,77109,75638,1.52M,0.41%
4/28/2021,76645,76645,76877,75638,1.82M,0.00%
4/29/2021,77419,76645,77419,75871,2.06M,1.01%
5/4/2021,76722,76645,77109,75871,1.91M,-0.90%
5/5/2021,78348,76722,78967,76722,2.33M,2.12%
5/6/2021,76877,78348,78735,76645,1.48M,-1.88%
5/7/2021,75096,76567,76645,74864,2.92M,-2.32%
5/10/2021,75948,74864,76025,74245,2.14M,1.13%
5/11/2021,75793,76025,76877,75484,1.49M,-0.20%
5/12/2021,75329,75793,75793,75096,1.55M,-0.61%
5/13/2021,74942,75251,75716,74942,2.17M,-0.51%
5/14/2021,75019,75406,76103,74787,1.79M,0.10%
5/17/2021,74322,75174,75329,74167,2.19M,-0.93%
5/18/2021,73238,73780,74322,73161,2.68M,-1.46%
5/19/2021,72851,73238,73238,72619,2.14M,-0.53%
5/20/2021,76645,72851,76645,72851,2.43M,5.21%
5/21/2021,74942,74555,75871,74322,1.86M,-2.22%
5/24/2021,75406,75484,76258,74709,2.32M,0.62%
5/25/2021,77264,75406,77419,75406,4.87M,2.46%
5/26/2021,77729,77342,78813,77187,3.01M,0.60%
5/27/2021,76413,77729,77729,75871,1.86M,-1.69%
5/28/2021,77109,76645,78271,75561,2.80M,0.91%
5/31/2021,76335,78193,78193,76103,3.34M,-1.00%
6/1/2021,80284,76955,80671,76413,5.78M,5.17%
6/2/2021,82064,80516,83225,80284,5.45M,2.22%
6/3/2021,82606,82142,83613,82064,3.58M,0.66%
6/4/2021,81213,82451,82451,80593,3.07M,-1.69%
6/7/2021,79742,80748,81213,78348,3.79M,-1.81%
6/8/2021,77419,79742,80516,77419,3.00M,-2.91%
6/9/2021,78967,77419,78967,76800,3.05M,2.00%
6/10/2021,78813,78967,79664,77419,2.89M,-0.20%
6/11/2021,79587,78271,80129,77806,2.61M,0.98%
6/14/2021,78967,79045,80051,78425,1.86M,-0.78%
6/15/2021,79587,79045,79742,78193,1.81M,0.79%
6/16/2021,80516,79355,82064,79355,3.70M,1.17%
6/17/2021,80671,80516,81290,78967,1.99M,0.19%
6/18/2021,84000,80903,84387,80748,4.13M,4.13%
6/21/2021,82529,83613,83767,82064,2.69M,-1.75%
6/22/2021,83303,82916,84000,82451,1.89M,0.94%
6/23/2021,84929,83613,85935,82838,2.87M,1.95%
6/24/2021,85703,85161,85780,83458,1.46M,0.91%
6/25/2021,87174,85703,87329,84309,2.15M,1.72%
6/28/2021,87174,87174,87484,86013,1.95M,0.00%
6/29/2021,88258,86709,88258,86322,2.36M,1.24%
6/30/2021,90116,88258,90735,88258,3.53M,2.11%
7/1/2021,90116,90348,90425,89032,2.34M,0.00%
7/2/2021,88954,90116,90271,88258,2.20M,-1.29%
7/5/2021,87948,88180,88180,85858,2.61M,-1.13%
7/6/2021,86709,87096,89032,86709,2.13M,-1.41%
7/7/2021,87793,86709,87793,82064,3.42M,1.25%
7/8/2021,85935,86090,87484,84387,1.77M,-2.12%
7/9/2021,85006,85161,86013,82684,3.75M,-1.08%
7/12/2021,82916,84774,84774,79819,3.17M,-2.46%
7/13/2021,80051,82761,82761,79045,2.38M,-3.46%
7/14/2021,78813,80051,80129,77419,2.87M,-1.55%
7/15/2021,79355,77574,80903,77574,2.96M,0.69%
7/16/2021,79355,79355,80051,78193,1.87M,0.00%
7/19/2021,75096,77419,77574,74245,3.24M,-5.37%
7/20/2021,77574,75716,78193,72387,3.04M,3.30%
7/21/2021,76645,77032,77806,76103,1.87M,-1.20%
