Date,Price,Open,High,Low,Vol.,Change %
1/17/2020,"41,636.50","42,103.50","42,492.60","41,325.20",809.32K,-0.93%
1/20/2020,"41,480.90","41,636.50","42,181.30","41,403.10",957.93K,-0.37%
1/21/2020,"42,025.70","41,480.90","42,414.80","41,480.90",766.69K,1.31%
1/22/2020,"43,193.00","42,025.70","43,426.50","41,870.00",982.75K,2.78%
1/30/2020,"41,013.90","42,414.80","42,726.10","40,469.20",1.75M,-5.05%
1/31/2020,"40,080.00","40,702.60","41,714.40","40,080.00",1.45M,-2.28%
2/3/2020,"41,636.50","38,757.00","42,803.90","37,278.30",1.97M,3.88%
2/4/2020,"42,337.00","42,337.00","42,570.40","41,714.40",1.77M,1.68%
2/5/2020,"41,636.50","42,726.10","42,959.60","41,636.50",903.92K,-1.65%
2/6/2020,"41,403.10","41,558.70","42,103.50","41,247.40",1.85M,-0.56%
2/7/2020,"40,235.70","41,013.90","41,480.90","40,157.90",1.89M,-2.82%
2/10/2020,"38,212.20","39,613.10","39,846.50","38,212.20",1.40M,-5.03%
2/11/2020,"39,535.20","38,212.20","40,002.20","38,212.20",1.15M,3.46%
2/12/2020,"39,535.20","40,080.00","40,313.50","39,457.40",886.11K,0.00%
2/13/2020,"39,223.90","39,457.40","39,690.90","38,834.80",727.98K,-0.79%
2/14/2020,"38,912.60","38,990.50","39,379.60","38,912.60",788.63K,-0.79%
2/17/2020,"40,080.00","39,068.30","40,080.00","38,990.50",1.09M,3.00%
2/18/2020,"40,469.20","40,391.30","40,936.10","40,080.00",1.11M,0.97%
2/19/2020,"39,924.40","40,469.20","40,547.00","39,846.50",468.18K,-1.35%
2/20/2020,"39,924.40","40,391.30","40,469.20","39,846.50",695.27K,0.00%
2/21/2020,"38,523.50","39,924.40","39,924.40","37,939.80",3.29M,-3.51%
2/24/2020,"36,033.10","37,511.80","37,978.70","36,033.10",1.36M,-6.46%
2/25/2020,"37,978.70","35,021.40","37,978.70","35,021.40",1.11M,5.40%
2/26/2020,"36,577.90","37,044.80","37,589.60","36,461.10",787.76K,-3.69%
2/27/2020,"36,655.70","36,577.90","37,122.70","36,149.80",908.91K,0.21%
2/28/2020,"35,410.50","35,799.60","36,110.90","35,060.30",1.22M,-3.40%
3/2/2020,"35,138.10","35,721.80","35,721.80","35,021.40",714.74K,-0.77%
3/3/2020,"36,500.10","36,422.20","37,161.60","35,566.20",1.28M,3.88%
3/4/2020,"35,916.40","36,577.90","36,577.90","35,721.80",828.01K,-1.60%
3/5/2020,"36,305.50","36,227.70","36,772.50","36,188.80",1.10M,1.08%
3/6/2020,"36,461.10","35,410.50","36,694.60","35,410.50",699.27K,0.43%
3/9/2020,"33,931.80","34,009.70","34,787.90","33,931.80",1.19M,-6.94%
3/10/2020,"32,997.90","33,075.70","34,243.10","32,141.80",1.72M,-2.75%
3/11/2020,"30,702.10","33,854.00","33,854.00","30,702.10",1.91M,-6.96%
3/12/2020,"28,561.90","28,600.80","29,340.10","28,561.90",1.93M,-6.97%
3/13/2020,"27,238.90","26,577.30","28,561.90","26,577.30",2.93M,-4.63%
3/16/2020,"25,526.70","27,238.90","27,978.20","25,332.10",2.76M,-6.29%
3/17/2020,"26,304.90","23,814.50","26,382.80","23,814.50",2.23M,3.05%
3/18/2020,"26,888.60","26,460.60","27,628.00","26,421.70",2.19M,2.22%
3/19/2020,"25,993.60","26,421.70","26,616.20","25,487.80",1.14M,-3.33%
3/20/2020,"25,760.20","26,149.30","26,499.50","25,604.50",970.09K,-0.90%
3/23/2020,"23,970.20","24,125.80","24,826.30","23,970.20",3.43M,-6.95%
3/24/2020,"24,592.80","24,125.80","24,865.20","23,892.40",1.54M,2.60%
3/25/2020,"25,838.00","25,993.60","26,032.60","25,526.70",2.03M,5.06%
3/26/2020,"25,915.80","25,682.30","26,616.20","25,020.80",1.44M,0.30%
3/27/2020,"25,682.30","25,760.20","26,266.00","25,215.40",1.42M,-0.90%
